title,release_date,tagline
Days of Heaven,9/13/78,Your eyes... Your ears... Your senses... will be overwhelmed.
Thirteen Conversations About One Thing,9/2/01,Ask yourself if you're really happy.
Jawbreaker,1/30/99,Suck it and see...
Basquiat,8/9/96,"In 1981, A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History."
Frances Ha,5/17/13,
Tsotsi,8/18/05,In this world... Redemption comes just once.
Happiness,10/16/98,Finding happiness can be a tragic comedy.
DysFunktional Family,4/4/03,
Tusk,9/19/14,Let me tell you a story...
Oldboy,1/1/03,"15 years of imprisonment, five days of vengeance"
Letters to God,4/9/10,
Hobo with a Shotgun,5/6/11,"Delivering justice, one shell at a time..."
Compadres,3/31/16,
Freeway,8/23/96,Her life is no fairy tale.
Love's Abiding Joy,10/6/06,
Fish Tank,5/14/09,"Live, love and give as good as you get."
Damsels in Distress,4/6/12,"For these girls... it's not what you learn, it's whom you educate."
Creature,5/17/98,Death from the depths
Bachelorette,8/6/12,Old habits party hard.
Brave New Girl,4/25/04,
Tim and Eric's Billion Dollar Movie,3/2/12,
Summer Storm,9/2/04,
Fort McCoy,1/1/14,
Chain Letter,10/1/10,"If you don't forward it, you die."
Just Looking,10/21/99,A voyeuristic coming-of-age comedy.
The Divide,3/13/11,The lucky ones died in the blast
The Eclipse,4/24/09,If there is life after death - love lives on
Demonic,2/12/15,Every House Has It's Secrets
My Big Fat Independent Movie,3/4/05,The lowbrow comedy for the highbrow crowd.
The Deported,6/15/10,
Tanner Hall,9/14/09,
Open Road,4/12/13,
They Came Together,6/27/14,He came...She came...They both came
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,1/14/13,Based on true events... that may not have happened
Never Back Down 2: The Beatdown,9/13/11,
Point Blank,8/30/67,There are two kinds of people in his up-tight world: his victims and his women. And sometimes you can't tell them apart.
Four Single Fathers,1/15/09,Comedy
Enter the Dangerous Mind,3/11/13,
Something Wicked,4/4/14,
AWOL-72,8/7/15,72 Hours On The Clock. Starting Now...
Iguana,4/1/88,
Chicago Overcoat,10/10/09,The glory days are back
Barry Munday,3/13/10,A comedy that hits you right where it counts.
Central Station,1/16/98,He was looking for the father he never knew. She was looking for a second chance.
Pocketful of Miracles,12/18/61,You have to see it to believe it!
Close Range,12/11/15,Colton MacReady...is coming home.
Boynton Beach Club,8/5/05,
Amnesiac,8/14/15,What he can't remember is killing him.
Freakonomics,10/1/10,Things you always thought you knew but didn't
High Tension,6/18/03,Hearts will bleed.
Griff the Invisible,8/19/11,"He's a dreamer, stuck in the real world."
Unnatural,10/16/15,Some things were never meant to be.
Hustle & Flow,7/22/05,The music will inspire them. The dream will unite them. This summer get crunk.
Some Like It Hot,3/18/59,The movie too HOT for words!
Friday the 13th Part VII: The New Blood,5/13/88,"Jason is back, but this time someone's waiting!"
The Wizard of Oz,8/15/39,"We're off to see the Wizard, the wonderful Wizard of Oz!"
Young Frankenstein,12/15/74,The scariest comedy of all time!
Diary of the Dead,9/8/07,Where will you be when the end begins?
Lage Raho Munna Bhai,1/1/06,They're back... and they're not alone!
Ulee's Gold,6/13/97,
The Black Stallion,10/17/79,"From the moment he first saw the stallion, he knew it would either destroy him, or carry him where no one had ever been before…"
Sardaarji,6/26/15,
Journey to Saturn,9/26/08,
Donovan's Reef,6/12/63,Gangway...For This Years BIG Adventure!
The Dress,3/21/96,
A Guy Named Joe,3/1/44,A GUY - A GAL - A PAL - It's Swell!
Blazing Saddles,2/7/74,Never give a saga an even break!
Friday the 13th: The Final Chapter,4/13/84,"Jason's Back, and this is the one you've been screaming for."
Ida,10/25/13,
Maurice,9/18/87,
Beer League,9/15/06,No Gut... No Glory.
Riding Giants,7/9/04,
Timecrimes,9/20/07,A trip back in time from the present to...
Silver Medalist,1/20/09,
Timber Falls,12/7/07,
Singin' in the Rain,4/10/52,What a Glorious Feeling!
"Fat, Sick & Nearly Dead",4/16/10,"FAT, SICK & NEARLY DEAD is an inspiring film that chronicles Joe's personal mission to regain his health."
A Haunted House,1/11/13,This $*%! ain't paranormal.
2016: Obama's America,7/13/12,"Love Him, Hate Him, You Don't Know Him"
That Thing You Do!,10/4/96,In every life there comes a time when that dream you dream becomes that thing you do.
Halloween III: Season of the Witch,10/22/82,...and now the earth will run with blood again!
Escape from the Planet of the Apes,5/20/71,Meet baby Milo who has Washington terrified.
Hud,5/29/63,The man with the barbed-wire soul.
Kevin Hart: Let Me Explain,7/3/13,Witness the rise of a legend
My Own Private Idaho,10/17/91,"It's not where you go, it's how you get there."
Garden State,7/28/04,
Before Sunrise,1/27/95,Can the greatest romance of your life last only one night?
Evil Words,10/3/03,
Jesus' Son,9/5/99,
Saving Face,9/12/04,"A romantic comedy about right, wrong and everything in between."
Brick Lane,11/16/07,
Robot & Frank,8/16/12,Friendship doesn't have an off switch
My Life Without Me,3/7/03,
The Spectacular Now,8/2/13,From the Writers of (500) Days of Summer
Religulous,10/1/08,Heaven help us.
Fuel,11/14/08,
Valley of the Heart's Delight,4/24/06,The roar of the mob drowned out the truth.
Eye of the Dolphin,8/24/07,She found her voice in the ocean... And within herself.
8: The Mormon Proposition,1/1/10,Equality for some.
The Other End of the Line,10/29/08,
Anatomy,2/3/00,Some study. Some are studied.
Sleep Dealer,12/10/08,Crossing the border just got easier. Plug into the new American dream.
Super,9/9/10,"Shut up, crime!"
Christmas Mail,12/1/10,
Stung,7/3/15,"Get inside, get away, just don't get stung"
Antibirth,9/2/16,
Get on the Bus,10/16/96,"On October 16, 1996, the one year anniversary of the Million Man March, Spike Lee invites you to lift your head, raise your voice, and...get on the bus."
Thr3e,12/1/06,
Idiocracy,9/1/06,"In the future, intelligence is extinct."
The Rise of the Krays,8/29/15,Brutal. Notorious. Legendary
This Is England,9/12/06,"Run with the crowd, stand alone, you decide."
U.F.O.,12/14/12,Try to remain calm
Bathing Beauty,7/1/44,M.G.M's Mammoth Technicolor Musical Spectacle!
Go for It!,5/13/11,
"Dancer, Texas Pop. 81",5/1/98,in the middle of nowhere they had everything
Show Boat,7/13/51,It's NEW!
Redemption Road,8/26/11,
The Calling,8/5/14,Pray for the Prey
The Brave Little Toaster,7/9/87,Imagine if Your Toaster Went on a Journey of its Own!
Fantasia,11/13/40,The most sensational sound you'll ever see!
8 Days,6/15/14,She never knew it could happen to her...
Friday the 13th Part III,8/13/82,There's nowhere to hide. We dare you to try.
Friday the 13th: A New Beginning,3/22/85,A New Beginning to the first step in terror.
The Last Sin Eater,2/9/07,
Do You Believe?,3/20/15,
Impact Point,6/13/08,
The Valley of Decision,6/1/45,
Eden,10/22/15,Survive at any cost.
Chicken Tikka Masala,4/22/05,
There's Always Woodstock,11/14/14,Let your heart sing
Jack Brooks: Monster Slayer,10/9/07,...I used to be a plumber
The Best Years of Our Lives,12/25/46,Three wonderful loves in the best picture of the year!
Bully,6/15/01,It's 4 a.m... do you know where your kids are?
Elling,3/16/01,
Mi America,10/16/15,
[REC],4/10/07,One witness. One camera
Lies in Plain Sight,10/3/10,
Sharkskin,1/1/15,
Containment,7/9/15,No water. No power. No explanation. No escape.
The Timber,2/27/15,"Fortunes will be made, lives will be lost."
From Russia with Love,10/11/63,The world's masters of murder pull out all the stops to destroy Agent 007!
The Toxic Avenger Part II,2/24/89,
Sleeper,12/17/73,Woody Allen takes a nostalgic look at the future.
It Follows,2/4/15,"It doesn't think, it doesn't feel, it doesn't give up"
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,8/6/72,
To Kill a Mockingbird,12/25/62,
Mad Max 2: The Road Warrior,12/24/81,"When all that's left is one last chance, pray that he's still out there ... somewhere!"
The Legend of Drunken Master,2/3/94,He's got a secret weapon with a lot of kick.
Boys Don't Cry,9/2/99,A true story about finding the courage to be yourself.
Silent House,1/21/11,"Experience 88 minutes of real fear, captured In real time"
The Lives of Others,3/15/06,"Before the Fall of the Berlin Wall, East Germany's Secret Police Listened to Your Secrets."
Courageous,9/30/11,Honor Begins at Home.
The Hustler,9/25/61,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.
Boom Town,8/30/40,Where Men Are Rough And Tough . . . And Like Their Women The Same Way !
The Triplets of Belleville,6/11/03,
Smoke Signals,1/16/98,
American Splendor,8/15/03,Ordinary life is pretty complex stuff
Before Sunset,2/10/04,What if you had a second chance with the one that got away?
Amores perros,6/16/00,Love. Betrayal. Death.
Thirteen,8/20/03,It's happening so fast.
Gentleman's Agreement,11/11/47,
Winter's Bone,6/11/10,Talking Just Causes Witnesses
Touching the Void,9/5/03,
Alexander's Ragtime Band,5/24/38,An American Cavalcade!
Me and You and Everyone We Know,6/17/05,
Inside Job,10/8/10,"The film that cost $20,000,000,000,000 to make."
We Are Your Friends,8/26/15,The world is yours.
Ghost Dog: The Way of the Samurai,9/13/99,All assassins live beyond the law … only one follows the code
Harsh Times,9/11/05,Take A Ride To The Edge
Captive,9/17/15,Faith. Redemption. Survival.
Full Frontal,8/2/02,Everybody Needs A Release
Witchboard,12/31/86,It's more than just a game.
Shortbus,5/20/06,Open Your Mind. And Everything Else.
Waltz with Bashir,6/25/08,
"The Book of Mormon Movie, Volume 1: The Journey",9/12/03,"2600 years ago, one family began a remarkable journey and set the course for a latter-day faith. This is their story."
No End in Sight,7/27/07,The American Occupation of Iraq. The Inside Story From the Ultimate Insiders.
The Diary of a Teenage Girl,8/7/15,Some things are best kept secret.
In the Shadow of the Moon,1/19/07,
Meek's Cutoff,9/5/10,The Road to Civilisation is Not Always Civilised
Inside Deep Throat,2/11/05,It was filmed in 6 days for 25 thousand dollars. The government didn't want you to see it. It was banned in 23 states. It has grossed over 600 million dollars. And it is the most profitable film in motion picture history.
Dinner Rush,9/1/00,
Clockwatchers,1/1/97,
The Virginity Hit,9/10/10,
Subway,4/10/85,An underground story where lives intertwine
House of D,4/15/05,
Teeth,1/19/07,Every rose has its thorns.
Six-String Samurai,9/18/98,Vegas Needs a New King.
Hum To Mohabbat Karega,5/26/00,
It's All Gone Pete Tong,9/12/04,
Saint John of Las Vegas,6/10/09,
24 7: Twenty Four Seven,8/31/97,
Stonewall,9/18/15,Where Pride Began
Roadside Romeo,10/24/08,
This Thing of Ours,1/1/05,
The Lost Medallion: The Adventures of Billy Stone,3/1/13,Finding it is only the beginning.
The Last Five Years,11/3/14,There are two sides to every love story.
The Missing Person,1/16/09,John Rosow is a private investigator. And an alcoholic. He just got the case of his life.
Return of the Living Dead 3,10/1/93,She's to die for.
London,2/10/05,One young man's incredible journey of self-discovery
Sherrybaby,9/8/06,No one makes it alone.
Circle,10/2/15,In here… everything gets you killed.
Eden Lake,9/12/08,"A weekend by the lake, with views to die for."
Plush,9/13/13,There's a fine line between love and obsession.
Lesbian Vampire Killers,3/16/09,"After Twilight, The Real Party Starts."
Gangster's Paradise: Jerusalema,2/11/08,Welcome to the promised land.
Freeze Frame,5/1/04,
Grave Encounters,9/9/11,They Were Searching For Proof.  They Found it.
Stitches,5/19/12,You'll die laughing...
Nine Dead,1/1/10,It doesn't have to end this way
"To Be Frank, Sinatra at 100",12/12/15,
Bananas,4/28/71,
Supercapitalist,8/10/12,Money for Life
Rockaway,7/7/07,
The Lady from Shanghai,12/24/47,I told you... you know nothing about wickedness
No Man's Land: The Rise of Reeker,5/1/08,
Highway,1/1/02,It started as a desperate escape and became the wildest ride of their lives
Small Apartments,3/10/12,
Coffee Town,7/9/13,
The Ghastly Love of Johnny X,4/26/13,They Sing! They Dance! They're Juvenile Delinquents from Outer Space!
All Is Bright,9/10/13,All is busted. All is broke. All is bitter. All is BRIGHT.
The Torture Chamber of Dr. Sadism,10/5/67,UNBELIEVABLE! Until You See It With Your Own Eyes!
Straight A's,1/16/13,
A Funny Thing Happened on the Way to the Forum,10/16/66,Something for Everyone!
Slacker Uprising,9/27/07,
The Legend of Hell's Gate: An American Conspiracy,3/3/11,Justice was delieverd by the fastest gun.
The Walking Deceased,3/20/15,
The Curse of Downers Grove,8/21/15,High school can be murder.
Shark Lake,10/2/15,In this lake you have to fight to survive
River's Edge,8/27/86,The most controversial film you will see this year.
Northfork,1/1/03,
The Marine 4: Moving Target,4/10/15,
Buried,9/24/10,"170,000 sq miles of desert. 90 minutes of oxygen. No way out."
Submarine,3/18/11,A comedy that doesn't let principles stand in the way of progress.
The Square,6/7/13,What does it mean to risk your life for your ideals? How far will five revolutionaries go in defending their beliefs in the fight for their nation?
One to Another,7/21/06,
ABCD (Any Body Can Dance),2/7/13,India's First 3D Dance movie
Man on Wire,7/25/08,1974. 1350 feet up. The artistic crime of the century.
Abandoned,8/30/15,
Brotherly Love,4/24/15,
The Last Exorcism,8/27/10,Believe In Him.
Nowhere Boy,12/25/09,As a boy all John Lennon needed was love.
A Streetcar Named Desire,9/18/51,"...Blanche, who wanted so much to stay a lady..."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1/29/64,The hot-line suspense comedy
The Crime of Padre Amaro,10/1/02,Lead us not into temptation
Beasts of the Southern Wild,6/29/12,I  gotta take care of mine.
Battle for the Planet of the Apes,6/15/73,The final chapter in the incredible Apes saga. The most suspenseful showdown ever filmed as two civilizations battle for the right to inherit what's left of the earth!
Songcatcher,3/1/01,Fall under its spell..
Higher Ground,8/26/11,
Vaalu,8/14/15,Life is what u make it
The Greatest Movie Ever Sold,4/22/11,"He's not selling out, he's buying in."
Ed and His Dead Mother,6/4/93,A family reunion with some minor complications.
Travellers and Magicians,9/9/03,The bitter and the sweet of temporary things.
Hang 'em High,7/31/68,The hanging was the best show in town. But they made two mistakes. They hung the wrong man and they didn't finish the job!
Deadline - U.S.A.,3/14/52,
Sublime,6/15/07,
A Beginner's Guide to Snuff,3/4/16,
Independence Daysaster,6/27/13,
Dysfunctional Friends,2/3/12,There's a thin line between money and friends.
Run Lola Run,8/20/98,Every second of every day you're faced with a decision that can change your life.
May,1/13/02,Be Careful... She Just Might Take Your Heart.
Against the Wild,12/29/13,Partners in survival. Friends for life.
Under the Same Moon,3/20/08,The love between a mother and a son knows no Boundraries.
Conquest of the Planet of the Apes,6/29/72,All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!
In the Bedroom,11/23/01,A young man. An older woman. Her ex-husband. Things are about to explode...
I Spit on Your Grave,6/17/10,It's Date Night
"Happy, Texas",12/3/99,Escaped convicts disguised as beauty pageant experts? This could get ugly
My Summer of Love,8/20/04,The most dangerous thing to want is more.
The Lunchbox,9/19/13,
Yes,8/5/05,
You Can't Take It With You,8/23/38,YOU'LL LOVE THEM ALL FOR GIVING YOU THE SWELLEST TIME YOU'VE EVER HAD!
From Here to Eternity,8/4/53,Pouring out of impassioned pages...brawling their way to greatness on the screen!
She Wore a Yellow Ribbon,10/22/49,John Ford's New and Finest Picture of the Fighting Cavalry!
Grace Unplugged,10/4/13,Would you give up what you need... to get everything you want?
Foolish,4/9/99,This big mouth is ready for the big time
N-Secure,10/15/10,
Caramel,7/1/07,
Out of the Dark,8/27/14,
The Bubble,6/6/06,
The Conversation,4/7/74,Harry Caul is an invader of privacy. The best in the business.
Dil Jo Bhi Kahey...,12/7/06,
Mississippi Mermaid,6/18/69,The Bride Came as Advertised...With an Unadvertised Special
I Love Your Work,10/5/03,
Cabin Fever,2/12/16,You can't run from what's inside.
Waitress,5/25/07,If only life were as easy as pie
Bloodsport,2/26/88,The true story of an American ninja.
Mr. Smith Goes to Washington,10/19/39,"Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!"
Kids,7/28/95,
The Squid and the Whale,10/5/05,Joint custody blows.
Kissing Jessica Stein,4/21/01,"When it comes to love, sometimes she just can't think straight."
Kickboxer: Vengeance,7/14/16,
Spellbound,12/28/45,The maddest love that ever possessed a woman.
Exotica,9/24/94,"In a world of temptation, obsession is the deadliest desire."
Buffalo '66,1/20/98,Billy Brown just got out of jail. Now he's going to serve some real time. He's going home.
Insidious,9/13/10,It's not the house that's haunted.
Repo Man,2/20/84,It’s 4 a.m. Do you know where your car is?
Nine Queens,8/31/00,Sticky & Square
The Gatekeepers,7/9/12,
The Ballad of Jack and Rose,3/25/05,"Selfhood begins with a walking away, and love is proved in the letting go."
The To Do List,7/24/13,She's going from straight A's to getting her first F.
Killing Zoe,10/1/93,
The Believer,1/19/01,
Snow Angels,3/7/08,Some will fall. Some will fly.
Unsullied,8/28/15,The Hunt Is On
Session 9,8/10/01,Fear is a place.
I Want Someone to Eat Cheese With,1/1/06,
Mooz-lum,2/11/11,
Hatchet,4/27/06,Stay out of the swamp.
Modern Times,2/5/36,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!"
Stolen Summer,3/22/02,You saw the back-stabbing. Now see the final cut.
My Name Is Bruce,10/1/07,Fearless! Unstoppable! Ready For His Close-Up!
The Salon,1/13/05,Where you get more than just a hair cut!
Road Hard,3/6/15,
Forty Shades of Blue,12/7/05,
Amigo,7/14/10,
Pontypool,3/6/09,Shut up or die.
Trucker,4/24/08,Some Things in life you can't leave behind
Me You and Five Bucks,7/7/15,"A story about second, second chances"
The Lords of Salem,9/10/12,We've been waiting... we've always been waiting
Housebound,9/4/14,Terror Gets Domesticated
Wal-Mart: The High Cost of Low Price,11/4/05,
Fetching Cody,10/1/05,How far would you go for love?
Last I Heard,1/1/13,
Closer to the Moon,11/29/13,
Mutant World,9/27/14,
Growing Up Smith,2/3/17,It’s better to stand out than to fit in.
Checkmate,7/3/15,
#Horror,11/20/15,Death is trending.
Wind Walkers,1/28/16,
Snow White and the Seven Dwarfs,12/20/37,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year."
The Holy Girl,5/6/04,She is both temptation and salvation.
Shalako,11/6/68,Sean Connery is Shalako! Shalako means action! Action means Bardot!
Incident at Loch Ness,12/17/04,
The Dog Lover,7/8/16,She ended up on the wrong side of right.
GirlHouse,10/16/14,Enjoy the show.
The Blue Room,5/16/14,
House at the End of the Drive,1/11/14,It's where they died.
Batman,7/30/66,He's Here Big As Life In A Real Bat-Epic
"Lock, Stock and Two Smoking Barrels",3/5/98,A Disgrace to Criminals Everywhere.
The Ballad of Gregorio Cortez,8/19/83,
The Celebration,5/20/98,
Trees Lounge,10/11/96,
Journey from the Fall,2/22/06,
The Basket,5/5/00,
Eddie: The Sleepwalking Cannibal,4/22/12,Part muse. Part sleepwalking cannibal.
Queen of the Mountains,8/22/14,
Def-Con 4,3/15/85,The last defense. The last hope. The battle for the future of the world has begun.
The Hebrew Hammer,1/1/03,
Neal 'n' Nikki,12/9/05,Nice is out...Naughty is in
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,6/8/10,
Forget Me Not,10/22/09,
Rebecca,4/12/40,The shadow of this woman darkened their love.
Friday the 13th Part 2,5/1/81,The body count continues...
The Lost Weekend,11/25/45,The screen dares to open the strange and savage pages of a shocking bestseller!
C.H.U.D.,8/31/84,They're not staying down there anymore!
Filly Brown,4/19/13,This is my life.
The Lion of Judah,6/3/11,The lamb who saved the world!
Niagara,1/21/53,A raging torrent of emotion that even nature can't control!
How Green Was My Valley,10/28/41,Millions Have Read This Great Novel... Millions more will see an even greater picture!
Da Sweet Blood of Jesus,6/22/14,
"Sex, Lies, and Videotape",8/18/89,
Saw,10/1/04,Live or die. Make your choice.
Super Troopers,1/18/01,
The Algerian,8/7/15,
The Amazing Catfish,8/10/13,
Monsoon Wedding,8/30/01,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India."
You Can Count on Me,11/17/00,
The Trouble with Harry,10/3/55,A THRILLER with a difference!
But I'm a Cheerleader,9/12/99,A Comedy Of Sexual Disorientation.
Home Run,4/19/13,Freedom is possible
Reservoir Dogs,9/2/92,Every dog has his day.
The Blue Bird,1/19/40,
"The Good, the Bad and the Ugly",12/23/66,For three men the Civil War wasn't hell. It was practice.
The Second Mother,2/8/15,
Blue Like Jazz,4/13/12,Everybody belongs somewhere
Down & Out With The Dolls,3/20/03,Ain't Rock 'N' Roll a bitch.
"Pink Ribbons, Inc.",9/11/11,Capitalizing on hope.
Certifiably Jonathan,3/1/07,
Desire,9/14/11,
The Blade of Don Juan,10/27/13,
Grand Theft Parsons,6/18/03,It's better to burn out than to fade away.
Extreme Movie,12/5/08,UNRATED. A film with many happy endings...
The Charge of the Light Brigade,10/20/36,"The reckless lancers sweep on and on - so that a woman's heart might not be broken! You're not fighting a single legion - you're fighting the entire British army, Surat Khan!"
Below Zero,10/22/11,There's nothing scarier than a blank page.
Crowsnest,1/1/12,
Airborne,9/17/93,There are two kinds of people: those who get AIRBORNE...and those who don't.
Cotton Comes to Harlem,5/27/70,"Introducing COFFIN ED and GRAVEDIGGER, two detectives only a mother could love."
The Wicked Within,10/16/15,Every family has its demons. The truth will possess us all.
Bleeding Hearts,6/1/13,
Waiting...,10/7/05,What happens in the kitchen ends up on the plate.
Dead Man's Shoes,9/29/04,He's in all of us.
From a Whisper to a Scream,9/25/87,Welcome to Oldfield. Stop in for a night of pure terror.
Sex With Strangers,2/22/02,
Dracula: Pages from a Virgin's Diary,2/28/02,
Faith Like Potatoes,10/27/06,
Beyond the Black Rainbow,12/3/10,Beyond Science. Beyond Sanity. Beyond Control.
The Raid,9/8/11,"1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell"
The Dead Undead,5/13/10,How Do You Kill Something That's Already Dead?
The Vatican Exorcisms,5/29/13,The public were never meant to know
Casablanca,11/26/42,They had a date with fate in Casablanca!
Lake Mungo,6/17/08,If you've never seen a ghost... Look closer.
Rocket Singh: Salesman of the Year,12/11/09,Welcome to the world of sales boss!
Silent Running,3/9/72,Amazing companions on an incredible journey...that journeys beyond imagination!
Rocky,11/21/76,His whole life was a million-to-one shot.
The Sleepwalker,1/20/14,
Tom Jones,10/6/63,Tom Jones! . . . loves and loves and loves and loves . . .
Unfriended,4/17/15,"Online, your memories last forever. But so do your mistakes."
Taxi Driver,2/7/76,"On every street in every city, there's a nobody who dreams of being a somebody."
The Howling,4/3/81,Imagine your worst fear a reality
Dr. No,10/4/62,NOW meet the most extraordinary gentleman spy in all fiction!
Chernobyl Diaries,5/24/12,Experience the fallout
Hellraiser,9/11/87,He'll tear your soul apart.
God's Not Dead 2,4/1/16,
Cry_Wolf,9/16/05,Nobody believes a liar...even when they're telling the truth.
Godzilla 2000,12/11/99,Get ready to crumble.
Blue Valentine,12/27/10,Nobody Baby But You And Me
Transamerica,12/23/05,Life is a Journey. Bring an Open Mind.
The Devil Inside,1/6/12,No soul is safe.
Beyond the Valley of the Dolls,7/17/70,This Is Not A Sequel. There Has Never Been Anything Like It!
Love Me Tender,11/15/56,HEAR ELVIS SING . . .
An Inconvenient Truth,1/24/06,By far the most terrifying film you will ever see.
Sands of Iwo Jima,12/14/49,A Great Human Story... Makes A Mighty Motion Picture!!!
Shine a Light,2/7/08,A master director shining his light on the best rock band on the planet.
The Green Inferno,9/4/14,Fear will eat you alive.
Departure,5/20/16,
The Sessions,5/2/12,The festival hit of the year!
"Food, Inc.",9/7/08,You'll never look at dinner the same way again.
October Baby,10/30/11,Every Life Is Beautiful
Next Stop Wonderland,8/21/98,Romance Is Her Destination.
The Skeleton Twins,1/18/14,Family is a cruel joke.
Martha Marcy May Marlene,10/21/11,You can get away. But you can never escape.
Obvious Child,6/6/14,
Frozen River,8/1/08,
20 Feet from Stardom,6/14/13,
Two Girls and a Guy,9/7/97,Thanks to his two girlfriends Blake is about to learn a new sexual position. Honesty
Walking and Talking,7/17/96,A movie for everyone who wants to get married and stay single at the same time.
Who Killed the Electric Car?,8/4/06,A lack of consumer confidence... or conspiracy?
The Broken Hearts Club: A Romantic Comedy,2/1/00,
Bubba Ho-tep,6/9/02,The King vs. The King of the Dead.
Slam,10/7/98,Words make sense of a world that won't.
Brigham City,3/30/01,
Fiza,9/8/00,In Search of her brother
Orgazmo,9/6/97,Fighting crime never felt so good!
All the Real Girls,8/1/03,Love is a puzzle. These are the pieces.
Dream with the Fishes,1/1/97,"An oddball odyssey about voyeurism, LSD and nude bowling!"
Blue Car,1/11/02,Ready or not... the future comes just the same.
Palo Alto,5/9/14,
Ajami,9/17/09,
Wristcutters: A Love Story,1/24/06,"Life is a trip, but the afterlife is one hell of a ride"
I Origins,7/18/14,
The Battle of Shaker Heights,8/22/03,"When you're 17, every day is war."
The Act of Killing,8/31/12,"A story of killers who win, and the society they build."
Taxi to the Dark Side,4/30/07,"In 2002, a young cap driver picked up a few passengers near his home in Afghanistan... He never returned"
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,1/1/06,The untold story of the team that had America at its feet.
Guiana 1838,9/24/04,
Lisa Picard Is Famous,5/14/00,
Antarctica: A Year on Ice,9/5/13,Step Outside The Box
A LEGO Brickumentary,7/31/15,
Hardflip,6/1/12,What do you do when your life does a 180?
Chocolate: Deep Dark Secrets,9/16/05,
The House of the Devil,4/25/09,Talk on the phone. Finish your homework. Watch TV. Die.
The Perfect Host,7/1/10,Dinner Parties Are A Dying Art.
Safe Men,8/17/98,Welcome to the world of disorganised crime.
Speedway Junky,2/11/99,There's no place for dreams on the streets of Vegas
The Last Big Thing,9/23/98,"The culture is going down on itself... go ahead, Scream!"
The Specials,9/22/00,
16 to Life,9/19/09,
Alone With Her,4/28/06,Anytime. Anywhere. He's watching.
Creative Control,3/11/16,A story about virtually everything
Special,1/30/06,
Sparkler,3/19/99,
The Helix... Loaded,1/1/05,
In Her Line of Fire,4/21/06,Behind Enemy Lines No Man Can Stop Her. Only One Woman Can Touch Her.
The Jimmy Show,1/16/02,
Heli,8/9/13,"Police corruption, drug trafficking, sexual exploitation, love, guilt and revenge."
Karachi se Lahore,7/31/15,
Loving Annabelle,3/8/06,
Hits,1/21/14,Based on a true story... that hasn't happened yet.
Jimmy and Judy,1/1/06,
Frat Party,1/1/09,
The Party's Over,4/22/65,
Proud,7/2/04,Proudly We Served
The Poker House,6/20/08,"Lust, drugs and violence... no place for a kid."
Childless,4/3/15,
ZMD: Zombies of Mass Destruction,1/1/09,They're just like you ... only dead
Snow White: A Deadly Summer,3/16/12,This is no fairy tale
Hidden Away,10/3/14,
My Last Day Without You,6/11/11,
Steppin: The Movie,5/19/09,
Doc Holliday's Revenge,6/1/14,
Black Rock,1/21/12,Not every island is a paradise.
Truth or Dare,8/5/12,Truth or Die
The Pet,5/17/06,
Bang Bang Baby,9/8/14,"Once upon a time, there was a girl..."
Fear Clinic,10/31/14,
Zombie Hunter,7/25/13,
A Fine Step,4/16/14,Together they learnt to dream again
Charly,9/23/68,A love story that begins with an incredible experiment!
Banshee Chapter,8/26/13,"The experiments are over, the terror has just begun..."
Ask Me Anything,4/19/14,Young. Not so innocent.
And Then Came Love,1/1/07,
Food Chains,4/26/14,
On the Waterfront,6/22/54,The Man Lived by the Jungle Law of the Docks!
L!fe Happens,6/18/11,A comedy that's a real mother.
"4 Months, 3 Weeks and 2 Days",8/24/07,At what moment do we begin to live?
The Horror Network Vol. 1,10/27/15,
Hard Candy,1/14/05,Strangers shouldn't talk to little girls.
The Quiet,9/12/05,Isn't it time everyone hears your secrets?
Circumstance,8/26/11,
Fruitvale Station,7/25/13,Every step brings you closer to the edge
The Brass Teapot,9/8/12,Everyone Has A Price. What's Yours?
Bambi,8/14/42,A great love story.
The Hammer,4/1/07,Some Guys Don't Know Their Destiny Till It Hits Them In The Face.
Latter Days,7/10/03,Aaron prays. Christian plays... Opposites attract.
Elza,4/11/11,
1982,12/31/13,
"For a Good Time, Call...",8/31/12,Lose your hang-ups. Find your calling.
Celeste & Jesse Forever,8/3/12,A Loved Story
Time Changer,10/25/02,What if you could see the future impact of your beliefs? One man will.
London to Brighton,12/1/06,Innocence has nowhere to hide
American Hero,12/11/15,From zero to superhero
Windsor Drive,6/26/15,
